"Folketingsvalget 2011 for Sjællands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"Gierslev";968;186;61;26;93;36;1;207;300;57
" ";"Kalundborghallen";2511;643;193;102;280;73;14;415;636;155
" ";"Rynkevang";2152;694;109;46;271;55;6;447;410;112
" ";"Tømmerup";1136;278;72;41;118;49;5;213;315;45
" ";"Årby-Rørby";2278;571;147;59;192;91;15;512;612;77
" ";"Raklev";3044;743;209;143;292;120;12;555;838;132
" ";"Røsnæs";620;152;33;18;53;21;2;136;165;40
" ";"Ulshøj";2607;738;197;77;236;69;9;474;689;117
" ";"11. RINGSTED OPSTILLINGSKREDS";39908;9716;3253;1828;3556;1951;185;6418;10673;2296
" ";"Ringsted Nørretorv";6483;1678;542;307;504;347;15;973;1739;376
" ";"Bringstrup";554;101;37;18;46;27;2;109;190;23
" ";"Gyrstinge";522;102;47;25;40;32;1;85;155;35
" ";"Benløse";3296;884;227;123;242;112;10;589;975;133
" ";"Haraldsted";884;162;88;26;83;50;6;162;223;82
" ";"Ringsted Dagmarskolen";3637;1070;284;132;370;138;14;534;813;278
" ";"Jystrup";973;182;122;33;127;59;1;118;210;120
" ";"Kværkeby";832;178;66;48;43;53;1;155;235;53
" ";"Vetterslev";912;226;63;41;78;67;4;161;248;23
" ";"Sneslev";456;87;20;15;32;34;1;81;155;31
" ";"Nordrup";766;169;62;36;66;48;6;118;226;32
" ";"Vigersted";895;184;83;34;75;47;3;176;251;41
" ";"Ørslev (Ringsted opstillingskreds)";587;140;37;15;54;35;3;142;130;31
" ";"Dianalund";3662;910;221;194;350;158;49;670;922;186
" ";"Ruds Vedby";1229;292;69;55;116;61;6;269;291;69
" ";"Alsted Fjenneslev";1267;290;90;44;98;56;3;240;376;70
" ";"Sorø";3513;905;379;252;328;158;27;377;906;176
" ";"Frederiksberg";3185;739;371;153;337;139;10;327;864;244
" ";"Pedersborg";2566;571;226;138;220;140;7;417;743;100
" ";"Stenlille";3689;846;219;139;347;190;16;715;1021;193
" ";"12. SLAGELSE OPSTILLINGSKREDS";49297;12645;3009;1999;4780;2246;171;9038;12642;2681
" ";"Dalmose";1410;334;89;52;97;77;8;301;392;59
" ";"Flakkebjerg";1034;200;72;46;118;55;3;190;283;66
" ";"Slots Bjergby";1120;245;77;47;83;62;3;196;361;45
" ";"Sørbymagle";1308;300;72;51;88;101;5;230;403;56
" ";"Korsør Søndre Bydel";5134;1672;251;203;514;200;18;893;1097;282
" ";"Korsør Nordre Bydel";4504;1556;190;116;546;168;16;828;764;314
" ";"Tårnborg";1710;517;68;58;130;65;8;344;435;82
" ";"Vemmelev";2266;503;111;74;180;131;2;470;712;70
" ";"Søndermark";4055;1083;316;161;372;180;19;711;958;251
" ";"Rude";1351;259;90;45;166;63;8;272;362;84
" ";"Skælskør Vest";2836;626;222;121;281;74;6;550;785;167
" ";"Agersø";144;31;5;7;15;1;2;46;35;2
" ";"Boeslunde";906;174;59;41;72;42;2;206;277;30
" ";"Skælskør Øst";2026;476;134;90;193;74;3;373;562;119
" ";"Omø";125;29;4;3;14;0;2;36;25;12
" ";"Slagelse Hallen";3857;858;270;182;453;226;18;624;912;300
" ";"Antvorskov";3579;908;234;213;317;158;16;614;943;170
" ";"Vesthallen";4270;1131;254;185;388;209;8;748;1177;166
" ";"Nordhallen";4601;1188;302;163;501;215;16;768;1140;301
" ";"Vestermose";966;151;56;55;80;65;3;195;334;22
" ";"Stillinge";2095;404;133;86;172;80;5;443;685;83

