"","unit","allvotes","sd","rv","kf","sf","la","kd","df","ve","el","redshare"
"758","rismoelleskolen",3105,1155,203,99,207,118,13,366,817,127,0.479549114331723
"759","rytterskolen",1661,507,91,50,88,57,22,148,669,29,0.375677302829621
"760","hornbaekhallen",2677,566,215,131,175,151,10,263,1095,70,0.30295106462458
"761","blicherskolen",1747,647,93,44,80,51,9,235,545,43,0.440755580995993
"762","gassum forsamlingshus",583,196,26,14,33,18,3,93,184,16,0.420240137221269
"763","nyvangsskolen",3528,1565,162,80,282,86,15,424,754,159,0.56859410430839
"764","noerrevangsskolen",3066,1471,119,48,298,71,16,411,439,193,0.639921722113503
"765","vestervangsskolen",4458,1648,262,157,333,147,25,492,1171,223,0.494392104082548
"766","oestervangsskolen",2594,1112,137,47,277,67,13,289,498,153,0.594448727833462
"768","kulturhuset langaa",2031,730,135,56,168,72,7,196,556,110,0.496307237813885
"769","stevnstrup forsamlingshus",1711,470,120,71,103,79,7,225,603,32,0.353594389246055
"770","jebjerg forsamlingshus",614,187,37,13,34,17,1,73,230,22,0.395765472312704
"771","asferg forsamlingshus",740,198,41,18,33,26,0,151,255,18,0.336486486486486
"772","purhushallen",903,262,52,36,50,41,3,141,288,29,0.377630121816168
"773","oe. bjerregrav forsamlingshus",1676,510,125,49,105,78,13,212,541,43,0.392601431980907
"774","hadsundvejens skole",3301,1134,207,102,354,132,25,376,703,266,0.531354135110573
"775","hobrovejens skole",2591,837,216,84,249,111,14,278,631,170,0.484754920879969
"776","soeren moellers gade",3097,912,240,105,293,164,16,324,803,240,0.466580561834033
"777","soendermarkskolen",5281,1908,401,135,334,187,46,600,1490,179,0.458435902291233
"778","kristrup skole",2825,1019,162,101,182,109,41,347,734,130,0.471150442477876
"779","paderup gymnasium",1320,362,65,36,76,49,16,181,493,42,0.363636363636364
"780","romalt aktivitetshal",2157,739,138,52,112,101,36,248,688,43,0.414464534075104
"781","assentofthallen",2570,620,182,105,107,105,19,272,1126,34,0.296108949416342
"782","uggelhuse forsamlingshus",685,193,39,26,54,23,6,106,196,42,0.421897810218978
"784","hadsten nord",3545,948,327,162,237,172,13,370,1184,131,0.371227080394922
"785","hadsten syd",2439,664,231,107,170,87,16,269,811,84,0.376383763837638
"786","hadbjerg",1387,336,132,78,94,67,10,171,467,32,0.333093006488825
"787","hammel nord",4832,1394,352,257,351,176,21,563,1558,159,0.394039735099338
"788","hammel syd",1385,343,117,49,100,78,6,201,419,72,0.371841155234657
"789","haldum-hinnerup/vitten",2784,753,330,131,250,123,16,262,801,118,0.402658045977011
"790","roenbaek/grundfoer",2686,686,262,130,209,109,17,263,909,100,0.370439314966493
"791","foldby",1048,265,90,28,105,37,7,126,328,61,0.411259541984733
"792","ulstrup",2726,698,191,87,180,131,19,411,916,93,0.356199559794571
"793","thorsoe/haurum/sall",2404,611,162,81,139,127,14,334,857,78,0.344425956738769
"794","laurbjerg/houlbjerg",1322,412,83,28,87,51,2,154,415,90,0.44553706505295
"795","soeften",1821,465,201,109,117,78,16,148,635,52,0.348160351455244
"796","voldum",816,202,39,29,59,33,3,134,293,23,0.348039215686274
"797","lading",762,195,61,27,68,32,3,106,221,47,0.406824146981627
"799","odder",7930,2278,761,348,790,306,41,701,2320,383,0.435182849936948
"800","torrild",303,82,25,14,28,11,1,27,102,13,0.405940594059406
"801","saksild - noelev",1199,279,94,64,130,44,9,129,394,56,0.387823185988324
"802","randlev - bjerager",921,230,87,35,85,25,5,104,292,58,0.40499457111835
"803","hou, gosmer - halling",1338,361,125,43,140,47,1,121,411,89,0.440956651718984
"804","gylling",723,189,70,33,67,32,4,84,204,40,0.409405255878285
"805","oerting-falling",910,274,64,15,73,47,5,111,264,57,0.443956043956044
"806","hundslund",850,205,86,24,73,41,0,93,257,69,0.408235294117647
"807","alroe",105,19,8,4,8,5,0,12,43,6,0.314285714285714
"808","tunoe",93,19,8,7,16,1,1,16,23,2,0.397849462365591
"809","tranebjerg",2321,547,165,115,313,70,5,235,662,209,0.460577337354589
"810","nordby (skanderborg opstillingskreds)",331,64,36,25,57,10,0,30,78,31,0.459214501510574
"811","ejer bavnehoej",1560,316,157,47,148,81,1,171,537,102,0.362820512820513
"812","galten",3661,1075,284,126,240,146,21,448,1207,111,0.389511062551216
"813","gl. rye",1144,220,193,37,139,69,8,78,287,112,0.411713286713287
"814","hoerning",5216,1423,438,234,368,252,7,643,1678,172,0.376342024539877
"815","laasby",2280,543,217,85,211,130,4,257,754,79,0.365350877192982
"816","morten boerup",6132,1749,612,223,619,292,17,561,1643,416,0.454011741682975
"817","niels ebbesen",4273,925,484,245,263,283,15,340,1553,164,0.316405335829628
"818","ry",4280,948,648,146,455,240,10,296,1199,337,0.406542056074766
"819","skovby",2876,814,250,96,220,120,20,380,848,126,0.403337969401947
"820","stilling",2766,760,247,125,216,115,8,283,936,76,0.380332610267534
"821","stjaer",1437,321,131,62,143,74,21,126,490,69,0.370911621433542
"822","virring",1413,334,111,47,94,78,5,175,521,48,0.336871903750885
"824","soenderbro",3787,1344,235,97,450,187,14,531,626,302,0.553472405598099
"825","vestbyen (horsens opstillingskreds)",3437,1051,259,78,459,166,12,462,668,280,0.520803025894676
"826","midtbyen",5744,1473,510,234,597,438,28,701,1384,374,0.425487465181059
"827","endelave",138,37,13,8,4,4,0,14,39,19,0.434782608695652
"828","oestbyen",4473,1486,376,111,518,271,22,568,803,317,0.518891124524927
"829","dagnaes",6210,1869,470,200,480,325,27,853,1776,210,0.41207729468599
"830","torsted (horsens opstillingskreds)",3564,1026,244,110,292,208,11,532,1028,111,0.400953984287318
"831","hatting",1500,342,113,59,91,107,3,193,563,29,0.308
"832","tamdrup",1552,372,99,40,103,104,3,214,559,58,0.343427835051546
"833","egebjerg (horsens opstillingskreds)",1767,446,156,52,122,125,15,243,535,73,0.362761743067346
"834","stensballe",4162,691,360,239,191,475,23,425,1655,103,0.236665064872657
"835","hoejvangen",2799,710,219,100,206,167,6,360,954,77,0.354769560557342
"836","braedstrup",3067,600,268,119,182,156,39,476,1133,93,0.285295076622106
"837","nim",1182,229,110,45,82,77,13,175,408,43,0.299492385786802
"838","sdr.vissing",1181,241,145,34,124,66,7,168,322,74,0.371718882303133
"839","oestbirk",2178,462,190,75,168,118,12,302,771,80,0.325987144168962
"840","gedved",1646,370,161,61,151,93,7,210,496,96,0.374848116646416
"841","hovedgaard",2225,529,197,72,179,115,7,293,722,110,0.367640449438202
"842","soevind",1268,317,117,36,122,70,3,131,413,59,0.392744479495268
"844","hedensted, st.dalby og urlev",5048,1031,331,194,234,286,74,694,2103,101,0.270602218700475
"845","loesning sogn",2666,831,139,91,181,103,92,386,776,67,0.404726181545386
"846","oe. snede sogn",1386,256,71,35,57,83,120,194,544,26,0.244588744588745
"847","daugaard og oerum sogne",1092,214,115,45,60,66,14,151,404,23,0.271978021978022
"848","korning sogn",434,64,30,13,14,24,33,94,153,9,0.200460829493088
"849","oelsted og eriknauer-omraadet",927,248,51,20,60,47,3,139,317,42,0.377562028047465
"850","juelsminde/klakring",2938,598,180,125,150,161,12,473,1153,86,0.283866575901974
"851","as",505,91,19,13,31,33,2,75,225,16,0.273267326732673
"852","barrit",1142,237,46,34,95,64,7,207,398,54,0.33800350262697
"853","bjerre",983,209,59,36,78,53,4,166,343,35,0.327568667344863
"854","hornsyld",1265,281,74,53,85,67,6,196,481,22,0.306719367588933
"855","stouby",1117,195,83,38,104,72,15,149,410,51,0.313339301700985
"856","raarup",1021,210,66,31,95,74,6,182,313,44,0.341821743388834
"857","glud",1541,311,100,48,105,98,7,222,587,61,0.309539260220636
"858","hjarnoe",83,11,12,6,11,5,0,5,23,10,0.385542168674699
"859","rask moelle",939,209,71,19,73,35,4,166,334,28,0.33013844515442
"860","hvirring",368,58,18,10,19,24,4,73,146,16,0.252717391304348
"861","hornborg",531,83,29,22,48,42,4,90,193,20,0.284369114877589
"862","lindved",1219,259,63,36,66,50,33,164,516,32,0.292863002461034
"863","toerring",1828,357,113,53,116,92,25,361,661,50,0.286105032822757
"864","uldum",1027,217,62,19,57,46,6,180,413,26,0.292112950340798
"865","aale",559,108,36,14,46,33,1,105,205,11,0.295169946332737
"866","oelholm",639,131,44,20,38,32,4,108,247,15,0.287949921752739
"867","hjortsvang",304,41,21,10,21,19,0,56,118,18,0.263157894736842
"870","errindlev",586,177,24,17,54,14,0,109,161,29,0.443686006825939
"871","holeby",1834,643,60,54,226,27,5,309,413,96,0.526172300981461
"872","halsted",874,214,44,37,144,30,4,166,174,60,0.478260869565217
"873","sandby (lolland opstillingskreds)",749,205,43,29,115,25,5,132,153,42,0.483311081441923
"874","soellested (lolland opstillingskreds)",1514,461,69,76,226,44,3,254,296,85,0.509907529722589
"875","maribo",4681,1657,242,198,510,147,16,611,1076,220,0.509933774834437
"876","askoe",36,5,1,1,5,0,1,6,15,2,0.333333333333333
"877","oestofte",2433,742,99,83,294,87,12,414,546,151,0.487875051376901
"878","nakskov",8781,2635,332,244,2668,179,27,1148,1115,431,0.65300079717572
"879","birket",411,138,15,13,41,15,0,58,99,32,0.51338199513382
"880","fejoe",363,76,28,12,49,17,1,73,69,38,0.449035812672176
"881","femoe",112,18,8,7,12,2,0,23,33,9,0.348214285714286
"882","horslunde",1613,486,73,43,288,53,6,261,324,79,0.528828270303782
"883","dannemare",2069,587,65,61,352,64,5,376,463,96,0.500241662638956
"884","roedby",1911,650,94,48,205,58,4,262,479,110,0.504971219256934
"885","roedbyhavn",1114,411,33,20,155,26,1,212,192,63,0.564631956912029
"886","brandstrup",707,174,25,18,96,26,2,130,194,40,0.438472418670438
"888","byen (guldborgsund opstillingskreds)",2847,797,224,139,372,98,16,388,560,253,0.499473129610116
"889","oesterbro",2681,925,167,105,292,95,17,362,517,200,0.528534129056322
"890","lindeskov",2490,911,120,105,217,62,18,351,575,130,0.505220883534137
"891","ejegod",2989,1060,204,122,332,95,18,391,610,156,0.517898962863834
"892","kraghave",1842,592,118,68,207,62,8,257,453,77,0.47557003257329
"893","toreby",1290,383,74,31,140,38,5,244,302,72,0.461240310077519
"894","sundby (guldborgsund opstillingskreds)",2406,799,152,109,234,87,19,307,592,107,0.473815461346633
"895","nysted",2169,732,110,74,195,59,6,358,542,92,0.469801751959428
"896","oester ulslev",1277,349,50,35,121,44,6,217,372,83,0.433046202036022
"897","noerre alslev",2179,687,126,92,193,50,9,347,546,129,0.463056447911886
"898","noerre vedby",1689,482,88,56,173,59,3,329,403,95,0.44404973357016
"899","eskilstrup",1876,593,98,66,191,60,9,332,429,97,0.469616204690832
"900","sakskoebing",3838,1419,159,131,427,108,14,532,884,158,0.522146951537259
"901","majboelle",1077,282,46,46,96,39,4,226,271,66,0.412256267409471
"902","vaabensted",821,257,37,33,82,28,1,134,212,37,0.457978075517661
"903","stubbekoebing",2600,778,147,89,297,71,17,464,569,167,0.477692307692308
"904","horreby",2249,634,153,72,237,83,9,401,496,163,0.459759893285905
"905","idestrup",1425,419,62,55,122,55,8,239,394,71,0.429473684210526
"906","vaeggerloese",2557,712,161,149,204,66,7,451,717,90,0.393429800547517
"907","gedser",1043,286,32,26,130,25,3,276,183,82,0.477468839884947
"909","vordingborg",3629,1080,262,197,384,149,15,534,756,250,0.472306420501516
"910","masnedsund",2763,873,208,100,326,88,11,434,509,214,0.511400651465798
"911","nyraad",1955,464,192,116,231,103,10,224,525,90,0.40153452685422
"912","kastrup (vordingborg opstillingskreds)",1784,557,95,75,190,86,8,264,399,110,0.480381165919283
"913","baarse",805,163,59,35,80,44,2,143,229,49,0.362732919254658
"914","lundby",2496,567,148,118,254,115,5,511,616,160,0.393028846153846
"915","oerslev (vordingsborg opstillingskreds)",1379,403,75,62,129,49,2,235,355,69,0.435823060188542
"916","stege",3780,1125,244,154,335,124,8,532,976,279,0.46005291005291
"917","oestmoen",1198,267,66,37,123,46,7,219,310,123,0.428213689482471
"918","vestmoen",1660,393,118,55,208,62,9,219,392,202,0.483734939759036
"919","bogoe",824,203,75,30,127,25,3,99,206,56,0.468446601941748
"920","praestoe",2892,741,213,135,326,121,12,466,683,193,0.435684647302905
"921","allerslev",807,158,61,24,101,43,5,129,231,55,0.38909541511772
"922","jungshoved",552,136,41,14,65,20,3,91,127,54,0.46195652173913
"923","mern",1260,315,63,55,128,48,5,243,323,79,0.414285714285714
"924","kalvehave",1591,469,90,66,160,62,5,269,352,118,0.469516027655563
"925","stensved",1376,448,73,63,109,45,3,235,337,63,0.450581395348837
"927","fuglebjerg hallen",2852,644,215,127,275,124,19,559,723,161,0.378681626928471
"928","everdrup",688,152,34,31,56,32,7,105,238,33,0.350290697674419
"929","groenbro-hallen",1335,326,90,47,126,72,4,263,339,66,0.388014981273408
"930","naestelsoe - mogenstrup",1711,410,113,104,114,90,3,218,619,39,0.329047340736411
"931","tybjerg",678,130,52,32,57,36,2,130,195,44,0.34070796460177
"932","snesere",1683,405,95,85,183,68,2,276,491,77,0.395127748068925
"933","hammer - vester egesborg",1096,244,72,38,90,42,13,171,366,60,0.35948905109489
"934","fensmark",3227,1006,188,188,273,127,17,480,808,140,0.439727300898668
"935","holme-olstrup",989,270,55,74,79,32,5,172,252,49,0.402426693629929
"936","toksvaerd",1087,241,73,61,106,52,3,189,291,70,0.383624655013799
"937","glumsoe",2151,587,163,81,215,124,4,335,500,142,0.438865643886564
"938","sandby (naestved opstillingskreds)",391,72,27,23,27,23,2,76,116,25,0.317135549872123
"939","skelby",443,87,21,16,37,21,1,85,154,21,0.327313769751693
"940","herlufmagle",2138,587,115,78,160,76,9,401,610,102,0.39710009354537
"941","digtervejskolen",2568,841,157,168,190,107,12,362,609,122,0.44898753894081
"942","groennegades kaserne",2316,611,174,130,228,111,8,317,567,168,0.434801381692573
"943","kildemarkskolen",3503,1238,226,123,422,137,16,518,565,258,0.54753068798173
"944","sjoelundsskolen",3946,1257,301,273,384,162,20,504,831,213,0.469842878864673
"945","sct. joergens skole",4372,1469,301,219,412,154,24,680,898,214,0.479185727355901
"946","kalbyrisskolen",2361,840,149,96,232,74,13,357,449,150,0.517577297755188
"947","lille naestved skole",2413,642,212,203,171,141,9,287,651,95,0.37629506837961
"948","herlufsholmhallen",3631,976,263,254,228,173,24,522,1045,144,0.371247590195538
"949","sydbyskolen",3018,1147,172,104,295,108,24,435,566,166,0.532803180914513
"950","roennebaek",617,187,30,37,70,23,3,89,149,29,0.46353322528363
"951","fodby",508,89,43,43,45,25,9,63,166,24,0.311023622047244
"952","hyllinge",480,137,28,26,53,19,1,66,115,35,0.46875
"953","karrebaek",1758,450,117,104,125,80,9,293,498,82,0.373720136518771
"954","marvede",379,66,33,19,29,17,0,72,125,17,0.295514511873351
"955","vallensved",401,97,27,13,24,32,1,67,123,17,0.344139650872818
"957","haslev 01",4599,1041,389,226,398,228,16,781,1313,207,0.357903892150467
"958","haslev 02",5173,1174,395,274,474,215,20,849,1473,294,0.375410786777499
"959","faxe",3022,895,172,170,237,100,16,499,778,155,0.425876902713435
"960","hylleholt",2679,662,191,130,330,98,4,419,633,212,0.449421425905189
"961","karise",2677,571,161,113,228,120,10,545,780,149,0.35412775494957
"962","dalby",2371,472,185,141,175,107,6,450,748,87,0.309574019401097
"963","roennede",2484,537,153,136,188,120,7,484,761,97,0.330917874396135
"964","haarlevhallen",3760,822,260,185,323,152,11,696,1117,193,0.355851063829787
"965","stroebyhallen",4538,853,350,227,344,257,13,831,1478,185,0.30453944468929
"966","stevnshallen",3833,907,285,232,330,133,8,680,1016,241,0.385598747717193
"967","harmonien",2581,567,193,138,222,145,5,510,652,146,0.362262688880279
"969","koege by - midt",2855,611,290,185,242,158,5,425,795,144,0.349211908931699
"970","koege by - vest",3543,1022,265,149,382,139,12,565,715,293,0.478972622071691
"971","lellinge",641,126,59,37,41,42,0,91,219,26,0.301092043681747
"972","hoejelse / lille skensved",1363,265,124,64,95,71,3,276,421,43,0.29567131327953
"973","oelby",3365,906,263,165,326,146,9,608,721,220,0.431500742942051
"974","oelsemagle",2556,577,178,125,190,141,4,474,764,102,0.339984350547731
"975","herfoelge",2128,482,168,121,167,96,7,355,610,120,0.361372180451128
"976","alkestrup",908,175,72,47,70,71,1,176,256,40,0.313876651982379
"977","hastrup",3230,847,270,159,326,129,7,481,787,224,0.432507739938081
"978","koege by - nord",3348,713,316,200,317,188,5,482,964,163,0.356332138590203
"979","herfoelge - syd",2162,521,142,86,300,96,4,350,501,162,0.454671600370028
"980","borup",3633,768,334,225,351,223,24,562,933,213,0.366639141205615
"981","ejby (koege opstillingskreds)",2370,464,202,132,157,150,3,411,779,70,0.291561181434599
"982","goerslev",861,160,62,55,51,46,2,175,287,23,0.271777003484321
"983","bjaeverskov",2249,413,131,130,110,123,16,463,795,68,0.262783459315251
"984","vemmedrup",1158,259,81,73,58,64,1,218,358,46,0.313471502590674
"985","hyllinge-lyndby",2557,515,192,103,241,143,6,373,864,117,0.34141572154869
"986","rye",1681,299,137,73,154,94,8,288,550,78,0.315883402736466
"987","saeby-gershoej",1125,209,85,49,99,66,3,197,340,76,0.341333333333333
"988","sonnerup",988,181,73,35,82,56,5,182,325,49,0.315789473684211
"989","glim",825,151,63,35,91,53,0,110,272,50,0.353939393939394
"990","hvalsoe",2849,641,349,147,420,136,6,298,642,210,0.446121446121446
"991","kr.saaby",1978,401,164,94,203,134,3,345,536,97,0.354398382204247
"992","gevninge",1972,359,184,105,172,139,6,259,650,98,0.318965517241379
"993","lejre",1788,264,310,138,151,127,7,115,562,114,0.29586129753915
"994","osted",2052,382,215,99,194,135,20,301,613,93,0.326023391812865
"996","arenaskolen",2491,634,150,93,222,87,9,522,603,170,0.411882778000803
"997","tjoernelyskolen",4841,860,397,285,242,251,9,845,1838,114,0.251187771121669
"998","holmeagerskolen",6940,1371,572,425,484,405,15,1150,2238,278,0.307348703170029
"999","mosedeskolen",3510,648,268,244,173,211,7,517,1377,65,0.252421652421652
"1000","karlslundehallerne",5344,919,418,356,309,360,32,812,1985,152,0.258233532934132
"1001","tunehallerne",4165,871,350,191,220,232,9,759,1422,111,0.28859543817527
"1002","hundigeskolen",3180,799,203,132,289,131,9,648,729,240,0.417610062893082
"1003","havdrup",2915,591,225,174,235,158,6,472,906,148,0.334133790737564
"1004","det nordlige strandomraade",4407,734,332,298,257,296,7,643,1692,148,0.258452461992285
"1005","det sydlige strandomraade",6416,1235,495,378,379,455,13,959,2259,242,0.28927680798005
"1007","roskilde bymidte",3905,775,543,205,522,256,12,321,841,428,0.441741357234315
"1008","klostermarken",4000,787,566,324,385,220,17,366,1057,277,0.36225
"1009","sankt joergen",5264,1298,709,231,815,214,21,496,970,510,0.498290273556231
"1010","hedegaardene",2991,703,388,114,392,130,17,377,589,281,0.46004680708793
"1011","oestervang",4351,1115,454,181,538,207,23,648,828,353,0.461043438290048
"1012","himmelev",5152,876,746,428,473,372,9,443,1530,274,0.315023291925466
"1013","svogerslev",2987,720,352,186,273,158,12,322,832,132,0.376632072313358
"1014","vindinge",1637,331,183,114,118,96,5,209,480,101,0.335980452046426
"1015","vor frue",752,146,68,32,76,48,2,111,219,50,0.361702127659574
"1016","aeblehaven",4019,1074,355,147,617,175,27,603,630,391,0.518039313262005
"1017","gundsoelille",2226,438,217,104,177,130,7,329,704,120,0.330188679245283
"1018","jyllinge",4143,712,406,276,259,373,10,648,1335,123,0.264059860004827
"1019","gundsoemagle",1763,419,152,94,111,97,6,291,523,70,0.340328984685196
"1020","baunehoej",2519,408,247,181,146,200,7,329,932,69,0.247320365224295
"1021","gadstrup",1552,314,148,92,111,97,5,206,513,66,0.316365979381443
"1022","viby",2910,736,264,136,198,142,10,432,879,112,0.359450171821306
"1023","snoldelev",756,126,61,29,62,42,4,148,262,22,0.277777777777778
"1024","daastrup",1097,229,104,50,79,68,5,153,353,53,0.329079307201459
"1025","trekroner (roskilde opstillingskreds)",1795,291,364,104,253,124,6,91,311,248,0.441225626740947
"1027","holbaek oest",8201,2261,840,477,795,368,32,879,1946,599,0.445677356419949
"1028","holbaek vest",7545,2204,705,363,743,272,29,955,1716,554,0.464015904572565
"1029","oroe",638,150,32,18,83,25,2,112,153,63,0.463949843260188
"1030","vipperoed",2725,651,222,171,226,143,11,392,787,122,0.366605504587156
"1031","tuse",2770,658,304,178,219,144,7,316,813,131,0.363898916967509
"1032","udby",1651,383,115,78,133,85,3,310,440,103,0.374924288310115
"1033","toelloese",3092,740,321,117,295,154,17,447,829,171,0.390038809831824
"1034","st. merloese",2425,559,196,90,246,98,12,401,668,153,0.395051546391753
"1035","regstrup",2625,615,208,137,228,120,10,407,765,134,0.372190476190476
"1036","undloese",2194,522,133,83,177,97,13,410,636,123,0.374658158614403
"1037","jyderup",3201,886,198,141,304,119,32,455,864,199,0.433926897844424
"1038","moerkoev",2716,681,147,108,246,93,9,519,742,169,0.403534609720177
"1039","svinninge",2317,630,139,102,200,68,6,400,663,108,0.404833836858006
"1040","gislinge",2144,509,152,83,176,104,8,393,635,84,0.358675373134328
"1042","asnaes",2667,681,205,116,242,86,5,473,716,141,0.398950131233596
"1043","faarevejle",2596,639,183,80,243,94,7,489,707,152,0.398305084745763
"1044","grevinge",1679,413,100,33,167,60,7,354,436,109,0.410363311494937
"1045","hoerve",2149,525,149,74,185,67,13,394,608,133,0.392275476966031
"1046","odden",982,250,54,21,88,28,1,235,244,61,0.406313645621181
"1047","vig",2074,487,125,91,164,84,3,380,633,107,0.365477338476374
"1048","nykoebing (kalundborg opstillingskreds)",4093,1216,278,149,400,113,24,620,999,294,0.466650378695333
"1049","roervig",1198,250,121,66,120,37,2,168,331,103,0.394824707846411
"1050","egebjerg (kalundborg opstillingskreds)",1041,225,81,40,109,37,6,190,235,118,0.434197886647454
"1051","hoejby",2483,642,146,68,227,64,5,483,658,189,0.426097462746677
"1052","lumsaas",481,72,36,15,65,14,2,95,127,54,0.397089397089397
"1053","nr. asmindrup",706,171,42,27,45,24,0,147,169,80,0.419263456090652
"1054","foellenslev",2313,515,128,68,236,66,4,558,563,174,0.399913532209252
"1055","sejeroe",283,80,11,6,36,5,5,54,74,12,0.452296819787986
"1056","sveboelle",2815,763,143,90,290,94,12,587,660,175,0.436234458259325
"1057","goerlev",2007,512,88,52,172,50,8,432,582,107,0.39412057797708
"1058","kr. helsinge",1178,225,55,31,99,74,6,265,374,46,0.314091680814941
"1059","reersoe",442,75,21,13,38,17,1,124,119,34,0.332579185520362
"1060","svallerup",784,158,46,23,85,25,4,182,232,28,0.345663265306122
"1061","ubby",1993,499,121,64,190,70,9,405,567,68,0.379829402910186
"1062","hoeng nord",1757,421,137,62,185,58,7,331,460,96,0.399544678429141
"1063","buerup",1234,223,79,28,141,56,3,216,390,98,0.374392220421394
"1064","hoeng syd",1527,396,84,57,145,47,7,315,408,67,0.398166339227243
"1065","gierslev",968,186,61,26,93,36,1,207,300,57,0.347107438016529
"1066","kalundborghallen",2511,643,193,102,280,73,14,415,636,155,0.429311031461569
"1067","rynkevang",2152,694,109,46,271,55,6,447,410,112,0.50046468401487
"1068","toemmerup",1136,278,72,41,118,49,5,213,315,45,0.388204225352113
"1069","aarby-roerby",2278,571,147,59,192,91,15,512,612,77,0.368744512730465
"1070","raklev",3044,743,209,143,292,120,12,555,838,132,0.383377135348226
"1071","roesnaes",620,152,33,18,53,21,2,136,165,40,0.395161290322581
"1072","ulshoej",2607,738,197,77,236,69,9,474,689,117,0.418488684311469
"1074","ringsted noerretorv",6483,1678,542,307,504,347,15,973,1739,376,0.394570414931359
"1075","bringstrup",554,101,37,18,46,27,2,109,190,23,0.306859205776173
"1076","gyrstinge",522,102,47,25,40,32,1,85,155,35,0.339080459770115
"1077","benloese",3296,884,227,123,242,112,10,589,975,133,0.381978155339806
"1078","haraldsted",884,162,88,26,83,50,6,162,223,82,0.369909502262443
"1079","ringsted dagmarskolen",3637,1070,284,132,370,138,14,534,813,278,0.47236733571625
"1080","jystrup",973,182,122,33,127,59,1,118,210,120,0.440904419321686
"1081","kvaerkeby",832,178,66,48,43,53,1,155,235,53,0.329326923076923
"1082","vetterslev",912,226,63,41,78,67,4,161,248,23,0.358552631578947
"1083","sneslev",456,87,20,15,32,34,1,81,155,31,0.328947368421053
"1084","nordrup",766,169,62,36,66,48,6,118,226,32,0.348563968668407
"1085","vigersted",895,184,83,34,75,47,3,176,251,41,0.335195530726257
"1086","oerslev (ringsted opstillingskreds)",587,140,37,15,54,35,3,142,130,31,0.383304940374787
"1087","dianalund",3662,910,221,194,350,158,49,670,922,186,0.394866193336974
"1088","ruds vedby",1229,292,69,55,116,61,6,269,291,69,0.388120423108218
"1089","alsted fjenneslev",1267,290,90,44,98,56,3,240,376,70,0.361483820047356
"1090","soroe",3513,905,379,252,328,158,27,377,906,176,0.40108169655565
"1091","frederiksberg",3185,739,371,153,337,139,10,327,864,244,0.414442700156986
"1092","pedersborg",2566,571,226,138,220,140,7,417,743,100,0.347233047544817
"1093","stenlille",3689,846,219,139,347,190,16,715,1021,193,0.375711574952562
"1095","dalmose",1410,334,89,52,97,77,8,301,392,59,0.347517730496454
"1096","flakkebjerg",1034,200,72,46,118,55,3,190,283,66,0.37137330754352
"1097","slots bjergby",1120,245,77,47,83,62,3,196,361,45,0.333035714285714
"1098","soerbymagle",1308,300,72,51,88,101,5,230,403,56,0.339449541284404
"1099","korsoer soendre bydel",5134,1672,251,203,514,200,18,893,1097,282,0.480716790027269
"1100","korsoer nordre bydel",4504,1556,190,116,546,168,16,828,764,314,0.536412078152753
"1101","taarnborg",1710,517,68,58,130,65,8,344,435,82,0.426315789473684
"1102","vemmelev",2266,503,111,74,180,131,2,470,712,70,0.332303618711386
"1103","soendermark",4055,1083,316,161,372,180,19,711,958,251,0.420715166461159
"1104","rude",1351,259,90,45,166,63,8,272,362,84,0.376757957068838
"1105","skaelskoer vest",2836,626,222,121,281,74,6,550,785,167,0.3787023977433
"1106","agersoe",144,31,5,7,15,1,2,46,35,2,0.333333333333333
"1107","boeslunde",906,174,59,41,72,42,2,206,277,30,0.304635761589404
"1108","skaelskoer oest",2026,476,134,90,193,74,3,373,562,119,0.388943731490622
"1109","omoe",125,29,4,3,14,0,2,36,25,12,0.44
"1110","slagelse hallen",3857,858,270,182,453,226,18,624,912,300,0.417682136375421
"1111","antvorskov",3579,908,234,213,317,158,16,614,943,170,0.389773679798826
"1112","vesthallen",4270,1131,254,185,388,209,8,748,1177,166,0.394613583138173
"1113","nordhallen",4601,1188,302,163,501,215,16,768,1140,301,0.432514670723756
"1114","vestermose",966,151,56,55,80,65,3,195,334,22,0.261904761904762
"1115","stillinge",2095,404,133,86,172,80,5,443,685,83,0.314558472553699
"1118","nordborg",4008,1204,146,192,348,165,12,680,1155,105,0.413423153692615
"1119","havnbjerg",1916,680,86,67,156,85,4,287,488,62,0.468684759916493
"1120","egen",2452,782,92,103,158,84,6,397,765,65,0.409869494290375
"1121","fynshav",1678,409,105,71,106,50,7,300,570,59,0.34207389749702
"1122","augustenborg",2579,687,157,129,194,102,11,436,789,71,0.369135323768903
"1123","hoerup",2193,459,177,216,110,87,2,253,830,59,0.286365709074327
"1124","sydals",1642,382,79,101,112,81,3,261,563,60,0.337393422655298
"1125","kegnaes",359,73,31,19,30,31,8,49,95,22,0.348189415041783
"1126","humlehoej, soenderborg",5533,1624,337,236,426,224,29,897,1581,176,0.402313392373035
"1127","soenderskov, soenderborg",4666,1468,270,211,414,172,30,744,1169,187,0.443420488641234
"1128","biblioteket, soenderborg",4530,992,375,285,381,254,26,639,1418,158,0.337969094922737
"1129","dybboel",3888,865,289,234,232,209,31,524,1399,104,0.308899176954733
"1130","vester sottrup",2167,567,104,107,120,108,22,308,787,44,0.337332718043378
"1131","ullerup",1233,283,68,59,71,97,8,212,393,42,0.321167883211679
"1132","broager",3067,922,165,156,188,116,8,451,973,86,0.389957613302902
